chapix_dev,verseix_dev,stanza1_dev,stanza2_dev,speaker_dev,chapix_itrans,verseix_itrans,stanza1_itrans,stanza2_itrans,stanza1_slp1,stanza2_slp1
 १,१,धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः,मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय,धृतराष्ट्र उवाच,1,1,dharmakShetre kurukShetre samavetA yuyutsavaH,mAmakAH pANDavAshchaiva kimakurvata sa~njaya,Darmakzetre kurukzetre samavetA yuyutsavaH,mAmakAH pARqavAScEva kimakurvata saYjaya
 १,२,दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा,आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्,सञ्जय उवाच,1,2,dRRiShTvA tu pANDavAnIkaM vyUDhaM duryodhanastadA,AchAryamupasa~Ngamya rAjA vachanamabravIt,dfzwvA tu pARqavAnIkaM vyUQaM duryoDanastadA,AcAryamupasaNgamya rAjA vacanamabravIt
 १,३,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्,व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता,सञ्जय उवाच,1,3,pashyaitAM pANDuputrANAmAchArya mahatIM chamUm,vyUDhAM drupadaputreNa tava shiShyeNa dhImatA,paSyEtAM pARquputrARAmAcArya mahatIM camUm,vyUQAM drupadaputreRa tava SizyeRa DImatA
 १,४,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि,युयुधानो विराटश्च द्रुपदश्च महारथः,सञ्जय उवाच,1,4,atra shUrA maheShvAsA bhImArjunasamA yudhi,yuyudhAno virATashcha drupadashcha mahArathaH,atra SUrA mahezvAsA BImArjunasamA yuDi,yuyuDAno virAwaSca drupadaSca mahAraTaH
 १,५,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्,पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः,सञ्जय उवाच,1,5,dhRRiShTaketushchekitAnaH kAshirAjashcha vIryavAn,purujitkuntibhojashcha shaibyashcha narapu~NgavaH,DfzwaketuScekitAnaH kASirAjaSca vIryavAn,purujitkuntiBojaSca SEbyaSca narapuNgavaH
 १,६,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्,सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः,सञ्जय उवाच,1,6,yudhAmanyushcha vikrAnta uttamaujAshcha vIryavAn,saubhadro draupadeyAshcha sarva eva mahArathAH,yuDAmanyuSca vikrAnta uttamOjASca vIryavAn,sOBadro drOpadeyASca sarva eva mahAraTAH
 १,७,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम,नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते,सञ्जय उवाच,1,7,asmAkaM tu vishiShTA ye tAnnibodha dvijottama,nAyakA mama sainyasya saMj~nArthaM tAnbravImi te,asmAkaM tu viSizwA ye tAnniboDa dvijottama,nAyakA mama sEnyasya saMjYArTaM tAnbravImi te
 १,८,भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः,अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च,सञ्जय उवाच,1,8,bhavAnbhIShmashcha karNashcha kRRipashcha samiti~njayaH,ashvatthAmA vikarNashcha saumadattistathaiva cha,BavAnBIzmaSca karRaSca kfpaSca samitiYjayaH,aSvatTAmA vikarRaSca sOmadattistaTEva ca
 १,९,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः,नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः,सञ्जय उवाच,1,9,anye cha bahavaH shUrA madarthe tyaktajIvitAH,nAnAshastrapraharaNAH sarve yuddhavishAradAH,anye ca bahavaH SUrA madarTe tyaktajIvitAH,nAnASastrapraharaRAH sarve yudDaviSAradAH
 १,१०,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्,पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्,सञ्जय उवाच,1,10,aparyAptaM tadasmAkaM balaM bhIShmAbhirakShitam,paryAptaM tvidameteShAM balaM bhImAbhirakShitam,aparyAptaM tadasmAkaM balaM BIzmABirakzitam,paryAptaM tvidametezAM balaM BImABirakzitam
 १,११,अयनेषु च सर्वेषु यथाभागमवस्थिताः,भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि,सञ्जय उवाच,1,11,ayaneShu cha sarveShu yathAbhAgamavasthitAH,bhIShmamevAbhirakShantu bhavantaH sarva eva hi,ayanezu ca sarvezu yaTABAgamavasTitAH,BIzmamevABirakzantu BavantaH sarva eva hi
