chapter_id,verse_id,sanskrit,english,hindi,index,foot,sanskrit_iast,sanskrit_slp1,sanskrit_hk
1,1,धर्मक्षेत्रे,on the holy plain,धर्मभूमि,11,1,dharmakṣetre,dharmakSetre,dharmakSetre
1,1,कुरुक्षेत्रे,in Kurukshetra,कुरुक्षेत्रमें,1,1,kurukṣetre,kurukSetre,kurukSetre
1,1,समवेताः,assembled together,इकट्ठे हुए,2,2,samavetāḥ,samavetAH,samavetAH
1,1,युयुत्सवः,desirous to fight,युद्धकी इच्छावाले,3,2,yuyutsavaḥ,yuyutsavaH,yuyutsavaH
1,1,मामकाः,my people,मेरे,4,3,māmakāḥ,mAmakAH,mAmakAH
1,1,पाण्डवाः,the sons of Pandu,पाण्डुके पुत्रोंने,5,3,pāṇḍavāḥ,pANDavAH,pANDavAH
1,1,च,and,और,7,3,ca,ca,ca
1,1,एव,also,भी,6,3,eva,eva,eva
1,1,किम्,what,क्या,8,4,kim,kim,kim
1,1,अकुर्वत,did do,किया ?,9,4,akurvata,akurvata,akurvata
1,1,सञ्जय,O Sanjaya,हे संजय!,10,4,sañjaya,saJjaya,saJjaya
1,2,दृष्ट्वा,having seen,देखकर,6,1,dṛṣṭvā,dRSTvA,dRSTvA
1,2,तु,indeed,और,4,1,tu,tu,tu
1,2,पाण्डवानीकम्,the army of the Pandavas,पाण्डव-सेनाको,3,1,pāṇḍavānīkam,pANDavAnIkam,pANDavAnIkam
1,2,व्यूढम्,drawn up in battlearray,वज्रव्यूहसे खड़ी हुई,1,2,vyūḍham,vyUDham,vyUDham
1,2,दुर्योधनः,Duryodhana,दुर्योधन (यह),2,2,duryodhanaḥ,duryodhanaH,duryodhanaH
1,2,तदा,then,उस समय,7,2,tadā,tadA,tadA
1,2,आचार्यम्,the teacher,द्रोणाचार्यके,8,3,ācāryam,AcAryam,AcAryam
1,2,उपसङ्गम्य,having approached,पास जाकर,9,3,upasaṅgamya,upasaGgamya,upasaGgamya
1,2,राजा,the king,राजा,5,4,rājā,rAjA,rAjA
1,2,वचनम्,speech,वचन,10,4,vacanam,vacanam,vacanam
1,2,अब्रवीत्,said,बोला।,11,4,abravīt,abravIt,abravIt
1,3,पश्य,behold,देखिये!,4,1,paśya,pazya,pazya
1,3,एताम्,this,इस,9,1,etām,etAm,etAm
1,3,पाण्डुपुत्राणाम्,of the sons of Pandu,पाण्डवोंकी,11,1,pāṇḍuputrāṇām,pANDuputrANAm,pANDuputrANAm
1,3,आचार्य,O Teacher,हे आचार्य!,10,2,ācārya,AcArya,AcArya
1,3,महतीम्,great,बड़ी भारी,8,2,mahatīm,mahatIm,mahatIm
1,3,चमूम्,army,सेनाको,7,2,camūm,camUm,camUm
1,3,व्यूढाम्,arrayed,व्यूहरचनासे खड़ी की हुई,3,3,vyūḍhām,vyUDhAm,vyUDhAm
1,3,द्रुपदपुत्रेण,son of Drupada,द्रुपदपुत्र धृष्टद्युम्नके द्वारा,2,3,drupadaputreṇa,drupadaputreNa,drupadaputreNa
1,3,तव,your,आपके,5,4,tava,tava,tava
1,3,शिष्येण,by disciple,शिष्य,6,4,śiṣyeṇa,ziSyeNa,ziSyeNa
1,3,धीमता,wise,बुद्धिमान्,1,4,dhīmatā,dhImatA,dhImatA
1,4,अत्र,here,यहाँ (पाण्डवों-की सेनामें),1,1,atra,atra,atra
1,4,शूराः,heroes,"बड़े-बड़े शूरवीर हैं,",2,1,śūrāḥ,zUrAH,zUrAH
1,4,महेष्वासाः,mighty archers,(जिनके) बहुत बड़े-बड़े धनुष हैं,3,1,maheṣvāsāḥ,maheSvAsAH,maheSvAsAH
1,4,भीमार्जुनसमाः,eal to Bhima and Arjuna,भीम और अर्जुनके समान हैं। (उनमें),8,2,bhīmārjunasamāḥ,bhImArjunasamAH,bhImArjunasamAH
1,4,युधि,in battle,युद्धमें,5,2,yudhi,yudhi,yudhi
1,4,युयुधानः,Yuyudhana,"युयुधान (सात्यकि),",4,3,yuyudhānaḥ,yuyudhAnaH,yuyudhAnaH
1,4,विराटः,Virata,राजा विराट,6,3,virāṭaḥ,virATaH,virATaH
1,4,च,and,तथा (जो),7,3,ca,ca,ca
1,4,द्रुपदः,Drupada,द्रुपद (भी हैं।),10,4,drupadaḥ,drupadaH,drupadaH
1,4,च,and,और,11,4,ca,ca,ca
1,4,महारथः,of the great car,महारथी,9,4,mahārathaḥ,mahArathaH,mahArathaH
1,5,धृष्टकेतुः,Dhrishtaketu,धृष्टकेतु,1,1,dhṛṣṭaketuḥ,dhRSTaketuH,dhRSTaketuH
1,5,चेकितानः,Chekitana,चेकितान,2,1,cekitānaḥ,cekitAnaH,cekitAnaH
1,5,काशिराजः,king of Kasi,काशिराज (भी हैं।),4,2,kāśirājaḥ,kAzirAjaH,kAzirAjaH
1,5,च,and,तथा,5,2,ca,ca,ca
1,5,वीर्यवान्,valiant,पराक्रमी,3,2,vīryavān,vIryavAn,vIryavAn
1,5,पुरुजित्,Purujit,पुरुजित्,6,3,purujit,purujit,purujit
1,5,कुन्तिभोजः,Kuntibhoja,कुन्तिभोज (—ये दोनों भाई),8,3,kuntibhojaḥ,kuntibhojaH,kuntibhojaH
1,5,च,and,और,7,3,ca,ca,ca
1,5,शैब्यः,son of Sibi,शैब्य (भी हैं।),10,4,śaibyaḥ,zaibyaH,zaibyaH
1,5,च,and,तथा,11,4,ca,ca,ca
1,5,नरपुङ्गवः,the best of men,मनुष्योंमें श्रेष्ठ,9,4,narapuṅgavaḥ,narapuGgavaH,narapuGgavaH
1,6,युधामन्युः,Yudhamanyu,युधामन्यु,2,1,yudhāmanyuḥ,yudhAmanyuH,yudhAmanyuH
1,6,च,and,और,3,1,ca,ca,ca
1,6,विक्रान्तः,the strong,पराक्रमी,1,1,vikrāntaḥ,vikrAntaH,vikrAntaH
1,6,उत्तमौजाः,Uttamaujas,उत्तमौजा (भी हैं।),5,2,uttamaujāḥ,uttamaujAH,uttamaujAH
1,6,च,and,और,6,2,ca,ca,ca
1,6,वीर्यवान्,the brave,पराक्रमी,4,2,vīryavān,vIryavAn,vIryavAn
1,6,सौभद्रः,the son of Subhadra,सुभद्रापुत्र अभिमन्यु,7,3,saubhadraḥ,saubhadraH,saubhadraH
1,6,द्रौपदेयाः,the sons of Draupadi,द्रौपदीके पाँचों पुत्र (भी हैं।),9,3,draupadeyāḥ,draupadeyAH,draupadeyAH
1,6,च,and,और,8,3,ca,ca,ca
1,6,सर्वे,all,(ये) सब,10,4,sarve,sarve,sarve
1,6,एव,even,के-सब,11,4,eva,eva,eva
1,6,महारथाः,great carwarriors,महारथी हैं।,12,4,mahārathāḥ,mahArathAH,mahArathAH
1,7,अस्माकम्,ours,हमारे पक्षमें,7,1,asmākam,asmAkam,asmAkam
1,7,तु,also,भी,1,1,tu,tu,tu
1,7,विशिष्टाः,the best,"मुख्य (हैं),",2,1,viśiṣṭāḥ,viziSTAH,viziSTAH
1,7,ये,who (those),जो,4,1,ye,ye,ye
1,7,तान्,those,उनपर (भी आप),3,2,tān,tAn,tAn
1,7,निबोध,know (thou),ध्यान दीजिये।,5,2,nibodha,nibodha,nibodha
1,7,द्विजोत्तम,(O) best among the twicorn ones,हे द्विजोत्तम!,6,2,dvijottama,dvijottama,dvijottama
1,7,नायकाः,the leaders,"नायक हैं,",14,3,nāyakāḥ,nAyakAH,nAyakAH
1,7,मम,my,मेरी,11,3,mama,mama,mama
1,7,सैन्यस्य,of the army,सेनाके (जो),9,3,sainyasya,sainyasya,sainyasya
1,7,संज्ञार्थम्,for information,याद दिलानेके लिये,10,4,saṃjñārtham,saMjJArtham,saMjJArtham
1,7,तान्,them,उनको (मैं),8,4,tān,tAn,tAn
1,7,ब्रवीमि,speak,कहता हूँ।,12,4,bravīmi,bravImi,bravImi
1,7,ते,to thee,आपको,13,4,te,te,te
1,8,भवान्,yourself,आप (द्रोणाचार्य),1,1,bhavān,bhavAn,bhavAn
1,8,भीष्मः,Bhishma,पितामह भीष्म,3,1,bhīṣmaḥ,bhISmaH,bhISmaH
1,8,च,and,और,2,1,ca,ca,ca
1,8,कर्णः,Karna,कर्ण,5,1,karṇaḥ,karNaH,karNaH
1,8,च,and,तथा,4,1,ca,ca,ca
1,8,कृपः,Kripa,कृपाचार्य,7,2,kṛpaḥ,kRpaH,kRpaH
1,8,च,and,और,8,2,ca,ca,ca
1,8,समितिञ्जयः,victorious in war,संग्रामविजयी,6,2,samitiñjayaḥ,samitiJjayaH,samitiJjayaH
1,8,अश्वत्थामा,"Asvatthama,  the son of Dronacharya","अश्वत्थामा,",11,3,aśvatthāmā,azvatthAmA,azvatthAmA
1,8,विकर्णः,Vikarna,विकर्ण,13,3,vikarṇaḥ,vikarNaH,vikarNaH
1,8,च,and,तथा,14,3,ca,ca,ca
1,8,सौमदत्तिः,the son of Somadatta,सोमदत्तका पुत्र भूरिश्रवा।,9,4,saumadattiḥ,saumadattiH,saumadattiH
1,8,तथा,thus,वैसे,10,4,tathā,tathA,tathA
1,8,एव,even,ही,15,4,eva,eva,eva
1,8,च,and,और,12,4,ca,ca,ca
1,9,अन्ये,others,इनके अतिरिक्त,1,1,anye,anye,anye
1,9,च,and,और,3,1,ca,ca,ca
1,9,बहवः,many,बहुत-से,4,1,bahavaḥ,bahavaH,bahavaH
